

DNA,Apple,Epigenetics,Hollywood,Maya,Microsoft,Precision,Tuscany,99 balloons,Computer Programming,Financial meltdown,Justin Timberlake,Least Squares,Mars robots,Page six,Roman Empire,Solar energy,Statistical Significance,Steve Jobs,The Maya,Triple Cross,US Constitution,Eye of Horus,Madam I’m Adam,Mean Average Precision,Physics Nobel Prizes,Read the manual,Spanish Civil War,Do geese see god,Much ado about nothing
50,100,100,75,100,50,100,100,100,50,50,100,100,50,100,33,100,100,100,100,100,100,100,0,100,100,100,50,50,100
50,100,100,75,100,50,100,100,100,50,50,100,100,50,100,33,100,100,100,100,100,100,100,0,100,100,100,50,50,100
20,50,87,75,100,50,100,0,100,50,33,66,60,50,0,22,100,100,100,100,100,0,100,0,100,100,0,50,50,60
0,50,87,75,100,0,100,0,100,50,30,40,60,37,0,0,100,100,100,75,100,0,100,0,60,80,0,50,0,60
0,50,87,66,100,0,100,0,80,50,0,40,0,0,0,0,80,85,100,44,0,0,80,0,0,80,0,44,0,50
0,0,87,0,55,0,100,0,0,0,0,0,0,0,0,0,50,85,100,0,0,0,71,0,0,66,0,0,0,0
0,0,87,0,0,0,100,0,0,0,0,0,0,0,0,0,0,85,66,0,0,0,66,0,0,66,0,0,0,0
0,0,87,0,0,0,100,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


DNA,Apple,Epigenetics,Hollywood,Maya,Microsoft,Precision,Tuscany,99 balloons,Computer Programming,Financial meltdown,Justin Timberlake,Least Squares,Mars robots,Page six,Roman Empire,Solar energy,Statistical Significance,Steve Jobs,The Maya,Triple Cross,US Constitution,Eye of Horus,Madam I’m Adam,Mean Average Precision,Physics Nobel Prizes,Read the manual,Spanish Civil War,Do geese see god,Much ado about nothing
50,25,100,100,50,0,100,100,100,100,100,100,100,50,0,33,66,100,100,50,100,0,100,0,100,100,0,50,50,100
50,25,100,100,50,0,100,100,100,100,100,100,100,50,0,33,66,100,100,50,100,0,100,0,100,100,0,50,50,100
50,0,87,0,50,0,100,22,100,66,44,66,100,44,0,0,66,100,100,50,50,0,100,0,100,100,0,50,50,66
42,0,87,0,50,0,100,0,100,0,44,40,75,44,0,0,50,100,100,50,0,0,100,0,50,60,0,0,0,50
0,0,87,0,50,0,100,0,100,0,44,40,66,44,0,0,0,100,100,50,0,0,75,0,0,0,0,0,0,0
0,0,87,0,0,0,0,0,0,0,0,0,62,0,0,0,0,100,100,0,0,0,75,0,0,0,0,0,0,0
0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,85,0,0,0,75,0,0,0,0,0,0,0
0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


DNA,Apple,Epigenetics,Hollywood,Maya,Microsoft,Precision,Tuscany,99 balloons,Computer Programming,Financial meltdown,Justin Timberlake,Least Squares,Mars robots,Page six,Roman Empire,Solar energy,Statistical Significance,Steve Jobs,The Maya,Triple Cross,US Constitution,Eye of Horus,Madam I’m Adam,Mean Average Precision,Physics Nobel Prizes,Read the manual,Spanish Civil War,Do geese see god,Much ado about nothing
28,0,100,12,10,50,50,100,100,100,40,100,25,100,0,100,100,100,100,0,100,50,100,12,100,75,0,100,100,100
28,0,100,12,10,50,50,100,100,100,40,100,25,100,0,100,100,100,100,0,100,50,100,12,100,75,0,100,100,100
28,0,87,0,0,50,0,100,100,40,40,66,0,66,0,28,100,100,85,0,0,50,100,0,100,75,0,66,66,57
0,0,87,0,0,0,0,0,100,0,0,40,0,50,0,0,50,100,85,0,0,50,75,0,60,75,0,42,30,57
0,0,87,0,0,0,0,0,66,0,0,40,0,44,0,0,50,66,85,0,0,50,66,0,57,0,0,0,0,57
0,0,87,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,85,0,0,0,66,0,0,0,0,0,0,0
0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,66,0,0,0,0,0,0,0
0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


DNA,Apple,Epigenetics,Hollywood,Maya,Microsoft,Precision,Tuscany,99 balloons,Computer Programming,Financial meltdown,Justin Timberlake,Least Squares,Mars robots,Page six,Roman Empire,Solar energy,Statistical Significance,Steve Jobs,The Maya,Triple Cross,US Constitution,Eye of Horus,Madam I’m Adam,Mean Average Precision,Physics Nobel Prizes,Read the manual,Spanish Civil War,Do geese see god,Much ado about nothing
100,100,20,100,100,25,25,25,100,100,33,100,40,12,100,100,80,100,100,100,33,50,100,16,50,100,100,75,33,37
100,100,20,100,100,25,25,25,100,100,33,100,40,12,100,100,80,100,100,100,33,50,100,16,50,100,100,75,33,37
37,40,20,100,100,20,22,0,50,100,33,66,40,0,0,100,80,50,75,100,0,50,66,0,50,100,40,75,33,37
37,40,0,100,57,0,0,0,0,80,33,40,0,0,0,30,80,50,75,55,0,0,37,0,33,50,0,75,0,37
0,40,0,83,57,0,0,0,0,80,0,40,0,0,0,0,80,0,71,55,0,0,0,0,0,0,0,55,0,0
0,0,0,83,55,0,0,0,0,0,0,0,0,0,0,0,0,0,71,55,0,0,0,0,0,0,0,55,0,0
0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


DNA,Apple,Epigenetics,Hollywood,Maya,Microsoft,Precision,Tuscany,99 balloons,Computer Programming,Financial meltdown,Justin Timberlake,Least Squares,Mars robots,Page six,Roman Empire,Solar energy,Statistical Significance,Steve Jobs,The Maya,Triple Cross,US Constitution,Eye of Horus,Madam I’m Adam,Mean Average Precision,Physics Nobel Prizes,Read the manual,Spanish Civil War,Do geese see god,Much ado about nothing
100,100,100,100,100,25,100,14,66,100,100,100,100,25,0,100,66,100,100,100,50,33,100,0,100,100,20,100,100,100
100,100,100,100,100,25,100,14,66,100,100,100,100,25,0,100,66,100,100,100,50,33,100,0,100,100,20,100,100,100
40,33,44,100,100,0,100,0,66,50,66,100,100,25,0,100,66,100,100,100,50,33,71,0,100,100,20,100,50,66
37,33,44,37,100,0,80,0,60,50,60,100,100,0,0,0,60,100,100,100,0,0,71,0,30,100,0,50,50,60
0,0,44,0,100,0,80,0,0,40,0,57,0,0,0,0,55,66,100,100,0,0,71,0,0,57,0,50,0,44
0,0,0,0,55,0,77,0,0,0,0,0,0,0,0,0,55,50,100,71,0,0,71,0,0,0,0,50,0,0
0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,100,66,0,0,70,0,0,0,0,0,0,0
0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,70,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


DNA,Apple,Epigenetics,Hollywood,Maya,Microsoft,Precision,Tuscany,99 balloons,Computer Programming,Financial meltdown,Justin Timberlake,Least Squares,Mars robots,Page six,Roman Empire,Solar energy,Statistical Significance,Steve Jobs,The Maya,Triple Cross,US Constitution,Eye of Horus,Madam I’m Adam,Mean Average Precision,Physics Nobel Prizes,Read the manual,Spanish Civil War,Do geese see god,Much ado about nothing
100,100,20,25,50,0,0,25,50,50,37,100,0,11,25,100,33,100,100,50,20,0,100,16,40,100,0,50,33,100
100,100,20,25,50,0,0,25,50,50,37,100,0,11,25,100,33,100,100,50,20,0,100,16,40,100,0,50,33,100
22,20,20,0,50,0,0,0,40,37,37,66,0,0,0,22,33,37,50,50,0,0,50,0,40,100,0,33,33,42
0,0,0,0,50,0,0,0,0,37,37,40,0,0,0,0,30,37,50,50,0,0,40,0,30,100,0,33,0,42
0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,50,0,0,0,40,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


DNA,Apple,Epigenetics,Hollywood,Maya,Microsoft,Precision,Tuscany,99 balloons,Computer Programming,Financial meltdown,Justin Timberlake,Least Squares,Mars robots,Page six,Roman Empire,Solar energy,Statistical Significance,Steve Jobs,The Maya,Triple Cross,US Constitution,Eye of Horus,Madam I’m Adam,Mean Average Precision,Physics Nobel Prizes,Read the manual,Spanish Civil War,Do geese see god,Much ado about nothing
100,100,100,11,100,0,100,14,66,100,100,100,100,20,0,100,50,100,100,100,50,0,100,0,100,100,0,100,100,100
100,100,100,11,100,0,100,14,66,100,100,100,100,20,0,100,50,100,100,100,50,0,100,0,100,100,0,100,100,100
28,20,44,0,100,0,60,0,66,30,66,100,33,20,0,0,50,60,100,100,25,0,71,0,100,100,0,66,50,75
0,0,44,0,75,0,60,0,60,30,60,100,33,0,0,0,42,60,75,75,0,0,71,0,30,100,0,50,50,75
0,0,44,0,40,0,0,0,0,0,0,57,0,0,0,0,0,44,66,57,0,0,71,0,0,0,0,44,0,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,50,0,0,71,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,60,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


DNA,Apple,Epigenetics,Hollywood,Maya,Microsoft,Precision,Tuscany,99 balloons,Computer Programming,Financial meltdown,Justin Timberlake,Least Squares,Mars robots,Page six,Roman Empire,Solar energy,Statistical Significance,Steve Jobs,The Maya,Triple Cross,US Constitution,Eye of Horus,Madam I’m Adam,Mean Average Precision,Physics Nobel Prizes,Read the manual,Spanish Civil War,Do geese see god,Much ado about nothing
100,100,20,100,10,25,16,100,100,50,33,100,11,22,20,100,42,100,100,0,50,66,100,33,66,100,20,50,33,37
100,100,20,100,10,25,16,100,100,50,33,100,11,22,20,100,42,100,100,0,50,66,100,33,66,100,20,50,33,37
44,0,20,0,0,20,0,40,33,50,33,66,0,22,0,66,42,50,71,0,20,66,50,33,66,100,0,0,33,37
44,0,0,0,0,0,0,30,0,0,33,40,0,0,0,0,42,50,71,0,0,66,30,0,37,100,0,0,0,37
44,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,71,0,0,66,0,0,0,80,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,55,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


DNA,Apple,Epigenetics,Hollywood,Maya,Microsoft,Precision,Tuscany,99 balloons,Computer Programming,Financial meltdown,Justin Timberlake,Least Squares,Mars robots,Page six,Roman Empire,Solar energy,Statistical Significance,Steve Jobs,The Maya,Triple Cross,US Constitution,Eye of Horus,Madam I’m Adam,Mean Average Precision,Physics Nobel Prizes,Read the manual,Spanish Civil War,Do geese see god,Much ado about nothing
100,100,100,100,11,25,100,30,66,50,100,100,50,33,0,100,75,100,100,22,50,100,100,0,100,100,20,100,100,100
100,100,100,100,11,25,100,30,66,50,100,100,50,33,0,100,75,100,100,22,50,100,100,0,100,100,20,100,100,100
100,0,44,0,0,0,100,30,66,40,66,100,33,33,0,100,75,66,100,22,40,66,71,0,100,100,0,37,50,66
60,0,44,0,0,0,75,30,60,0,50,100,0,33,0,0,75,60,100,0,40,50,71,0,37,50,0,37,50,50
40,0,44,0,0,0,57,0,0,0,0,57,0,0,0,0,40,50,100,0,40,0,71,0,0,50,0,0,0,40
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,71,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,60,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


DNA,Apple,Epigenetics,Hollywood,Maya,Microsoft,Precision,Tuscany,99 balloons,Computer Programming,Financial meltdown,Justin Timberlake,Least Squares,Mars robots,Page six,Roman Empire,Solar energy,Statistical Significance,Steve Jobs,The Maya,Triple Cross,US Constitution,Eye of Horus,Madam I’m Adam,Mean Average Precision,Physics Nobel Prizes,Read the manual,Spanish Civil War,Do geese see god,Much ado about nothing
50,100,100,75,100,50,100,50,100,50,40,100,100,40,20,33,100,100,100,100,100,100,100,14,100,100,100,25,100,100
50,100,100,75,100,50,100,50,100,50,40,100,100,40,20,33,100,100,100,100,100,100,100,14,100,100,100,25,100,100
20,66,87,75,100,50,100,0,100,44,40,66,0,40,0,28,100,100,100,100,100,0,100,0,60,100,0,25,100,60
0,50,87,75,100,0,100,0,100,44,0,40,0,30,0,0,100,100,100,75,100,0,100,0,60,75,0,0,0,60
0,50,87,66,100,0,100,0,100,44,0,40,0,0,0,0,80,100,100,50,0,0,80,0,44,71,0,0,0,50
0,0,87,0,62,0,100,0,0,0,0,0,0,0,0,0,50,85,100,0,0,0,71,0,0,71,0,0,0,0
0,0,87,0,0,0,100,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,66,0,0,66,0,0,0,0
0,0,87,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0


DNA,Apple,Epigenetics,Hollywood,Maya,Microsoft,Precision,Tuscany,99 balloons,Computer Programming,Financial meltdown,Justin Timberlake,Least Squares,Mars robots,Page six,Roman Empire,Solar energy,Statistical Significance,Steve Jobs,The Maya,Triple Cross,US Constitution,Eye of Horus,Madam I’m Adam,Mean Average Precision,Physics Nobel Prizes,Read the manual,Spanish Civil War,Do geese see god,Much ado about nothing
50,40,100,50,50,22,100,50,100,42,100,100,100,33,0,33,100,80,100,50,100,25,100,0,100,100,25,0,100,100
50,40,100,50,50,22,100,50,100,42,100,100,100,33,0,33,100,80,100,50,100,25,100,0,100,100,25,0,100,100
20,40,87,33,30,22,100,0,100,42,44,66,66,0,0,0,100,80,100,30,40,0,100,0,100,100,0,0,100,50
